
C:\DSIDATA\011-001-00031-201904101311-OEL-104-A-D.txt
Versiyon................  
Limnigraf Tipi..........  Optik Kodlu
Bölge...................  11
Havza...................  1
Istasyon................  31
28.04.2019  13:00     1.27
28.04.2019  13:30     1.27
28.04.2019  14:00     1.27
28.04.2019  14:30     1.27
28.04.2019  15:00     1.27
28.04.2019  15:30     1.27
28.04.2019  16:00     1.27
28.04.2019  16:30     1.26
28.04.2019  17:00     1.26
28.04.2019  17:30     1.26
28.04.2019  18:00     1.26
28.04.2019  18:30     1.26
28.04.2019  19:00     1.26
28.04.2019  19:30     1.26
28.04.2019  20:00     1.26
28.04.2019  20:30     1.26
28.04.2019  21:00     1.26
28.04.2019  21:30     1.26
28.04.2019  22:00     1.26
28.04.2019  22:30     1.26
28.04.2019  23:00     1.26
28.04.2019  23:30     1.26
28.04.2019  00:00     1.26
         
Max 28.04.2019 17:41  1.27
Min 28.04.2019 23:45  1.26
         
29.04.2019  00:30     1.26
29.04.2019  01:00     1.26
29.04.2019  01:30     1.26
29.04.2019  02:00     1.26
29.04.2019  02:30     1.26
29.04.2019  03:00     1.26
29.04.2019  03:30     1.26
29.04.2019  04:00     1.26
29.04.2019  04:30     1.26
29.04.2019  05:00     1.26
29.04.2019  05:30     1.26
29.04.2019  06:00     1.26
29.04.2019  06:30     1.26
29.04.2019  07:00     1.26
29.04.2019  07:30     1.27
29.04.2019  08:00     1.27
29.04.2019  08:30     1.26
29.04.2019  09:00     1.27
29.04.2019  09:30     1.26
29.04.2019  10:00     1.27
29.04.2019  10:30     1.27
29.04.2019  11:00     1.27
29.04.2019  11:30     1.27
29.04.2019  12:00     1.27
29.04.2019  12:30     1.27
29.04.2019  13:00     1.27
29.04.2019  13:30     1.27
29.04.2019  14:00     1.27
29.04.2019  14:30     1.27
29.04.2019  15:00     1.26
29.04.2019  15:30     1.26
29.04.2019  16:00     1.26
29.04.2019  16:30     1.26
29.04.2019  17:00     1.26
29.04.2019  17:30     1.26
29.04.2019  18:00     1.26
29.04.2019  18:30     1.26
29.04.2019  19:00     1.26
29.04.2019  19:30     1.26
29.04.2019  20:00     1.26
29.04.2019  20:30     1.26
29.04.2019  21:00     1.26
29.04.2019  21:30     1.26
29.04.2019  22:00     1.26
29.04.2019  22:30     1.26
29.04.2019  23:00     1.26
29.04.2019  23:30     1.26
29.04.2019  00:00     1.26
         
Max 29.04.2019 16:40  1.27
Min 29.04.2019 22:54  1.26
         
30.04.2019  00:30     1.26
30.04.2019  01:00     1.26
30.04.2019  01:30     1.26
30.04.2019  02:00     1.26
30.04.2019  02:30     1.26
30.04.2019  03:00     1.26
30.04.2019  03:30     1.26
30.04.2019  04:00     1.26
30.04.2019  04:30     1.26
30.04.2019  05:00     1.26
30.04.2019  05:30     1.26
30.04.2019  06:00     1.26
30.04.2019  06:30     1.26
30.04.2019  07:00     1.26
30.04.2019  07:30     1.26
30.04.2019  08:00     1.26
30.04.2019  08:30     1.26
30.04.2019  09:00     1.26
30.04.2019  09:30     1.26
30.04.2019  10:00     1.26
30.04.2019  10:30     1.26
30.04.2019  11:00     1.27
30.04.2019  11:30     1.26
30.04.2019  12:00     1.26
30.04.2019  12:30     1.26
30.04.2019  13:00     1.26
30.04.2019  13:30     1.26
30.04.2019  14:00     1.26
30.04.2019  14:30     1.26
30.04.2019  15:00     1.26
30.04.2019  15:30     1.26
30.04.2019  16:00     1.26
30.04.2019  16:30     1.26
30.04.2019  17:00     1.26
30.04.2019  17:30     1.26
30.04.2019  18:00     1.26
30.04.2019  18:30     1.26
30.04.2019  19:00     1.26
